Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
863311.1,2115051.3,,3470.7,3.54,
863395.9,2115206.9,,4514.5,3.655,
866465.9,2119794.1,,257.9,2.411,
866551.8,2119888.2,,1761.6,3.246,
866522.6,2119887.6,,4632.3,3.666,
827692.8,2121677.8,,784.4,2.895,
871486.5,2124791,,2038.7,3.309,
868792,2124921.3,,2830.4,3.452,
828461.5,2134250.4,,353.1,2.548,
828659.5,2141087.6,,2071,3.316,
916816.8,2144220.7,,423.1,2.626,
825345.2,2146660.7,,5333.1,3.727,
925244.2,2151502.7,,750.3,2.875,
925272.7,2151534.2,,43.2,1.635,
826986.4,2152815.7,,1210.6,3.083,
826348.4,2154189.3,,457.1,2.66,
826440.9,2153914,,1396.1,3.145,
827561.5,2154919.3,,85.5,1.932,
932642.3,2156332.7,,797.2,2.902,
931427.6,2159446.7,,1554.2,3.192,
925955.4,2159748,,573.7,2.759,
925926.9,2159716.5,,614.4,2.788,
924310.8,2158846.5,,742.5,2.871,
821683.4,2160353.7,,278.9,2.446,
937191,2161619.7,,692.4,2.84,
934322.7,2161796.7,,405,2.607,
922160.1,2160829.4,,894.9,2.952,
825815.5,2161043.7,,439.5,2.643,
823684.5,2161066.8,,50.2,1.701,
822255.4,2161010.3,,488,2.688,
821435.1,2161180.3,,269.6,2.431,
927306.7,2163138.5,,797.2,2.902,
927705.3,2163579.4,,171.4,2.234,
923661.5,2162836.6,,4514.5,3.655,
923663,2162775,,208,2.318,
822750.7,2162681.3,,62.8,1.798,
909101.7,2167150.8,,549.2,2.74,
822204.4,2165472.5,,87.5,1.942,
822202.2,2165595.6,,70.2,1.846,
819571.5,2165856.3,,171.9,2.235,
819886.3,2164569.2,,5697.6,3.756,
920455.7,2167475.1,,360.6,2.557,
820667.2,2166583.8,,296.1,2.471,
818816,2167320.2,,167.8,2.225,
819982.6,2167341,,507.8,2.706,
819166.5,2167295.7,,923.8,2.966,
920175.2,2169471.3,,478,2.679,
918633.5,2170451.9,,148,2.17,
820025.6,2168203.6,,896.2,2.952,
820028.3,2168049.8,,349.6,2.544,
820055.8,2168142.6,,370.4,2.569,
820087.2,2168020.1,,656.1,2.817,
927233.9,2171086.6,,963.8,2.984,
927348.4,2171181.8,,163.8,2.214,
922552.1,2171468.4,,1877.2,3.274,
914347.9,2172662.9,,427,2.63,
819733.4,2171491.8,,308.3,2.489,
820192.3,2170299.6,,29.2,1.465,
818304.7,2173097.6,,20,1.302,
923515.9,2173925.4,,530.2,2.724,
923602.8,2173958.3,,345,2.538,
916383,2175544.7,,3240.1,3.511,
916381.6,2175606.3,,2569,3.41,
916380.8,2175637.1,,2262.8,3.355,
915818.6,2175962.9,,318.6,2.503,
820160.2,2173715.6,,229.2,2.36,
918620.9,2178462.4,,999,3,
918564.7,2178368.7,,6610,3.82,
915000,2177268.6,,1410.3,3.149,
819629.8,2175645.2,,167.7,2.225,
819431.9,2175303,,413.6,2.617,
916288.9,2179578.6,,2228.9,3.348,
912978.3,2180117.8,,998.3,2.999,
913006.7,2180149.2,,514.9,2.712,
912979,2180087,,318,2.502,
906380.1,2178949.4,,8.7,0.938,
818987.9,2177295.8,,316.8,2.501,
816532.8,2177621.3,,669.9,2.826,
813578.5,2178153.8,,667.6,2.824,
918157.1,2182056.4,,181.8,2.26,
900619.4,2180759.7,,941.7,2.974,
818283.9,2179160.7,,85.9,1.934,
814645.3,2180481,,5311.5,3.725,
920069.1,2182656.1,,423.1,2.626,
914924.7,2184260.7,,83.1,1.92,
