,site_id,X_m,Y_m,East_UTM_km,North_UTM_km,K_m/d,log_K_m/d,measurement_method,data_source,ISO 3166
169,Hawaii_aquifer_Maui,605959.3,2365889.5,,,39.2,3.6686767467964168,nan,10.1007/s10040-007-0271-0,US
170,Hawaii_aquifer_Maui,606016.9,2365889.9,,,31.2,3.4404180948154366,nan,10.1007/s10040-007-0271-0,US
171,Hawaii_aquifer_Maui,605815.9,2365796.4,,,126.4,4.839451481712757,nan,10.1007/s10040-007-0271-0,US
172,Hawaii_aquifer_Maui,605755.7,2366195.6,,,66.7,4.200204952921578,nan,10.1007/s10040-007-0271-0,US
173,Hawaii_aquifer_Maui,605872.5,2365950.4,,,141.7,4.953712146696635,nan,10.1007/s10040-007-0271-0,US
174,Hawaii_aquifer_Maui,605988.3,2365859.0,,,220.3,5.394990253808298,nan,10.1007/s10040-007-0271-0,US
175,Hawaii_aquifer_Maui,605672.3,2365733.9,,,96.4,4.5685062016165,nan,10.1007/s10040-007-0271-0,US
176,Hawaii_aquifer_Maui,605668.5,2366318.1,,,16.5,2.803360380906535,nan,10.1007/s10040-007-0271-0,US
177,Hawaii_aquifer_Maui,603160.1,2366824.7,,,169.9,5.135210028677887,nan,10.1007/s10040-007-0271-0,US
178,Hawaii_aquifer_Maui,603188.8,2366824.9,,,261.8,5.5675808534758,nan,10.1007/s10040-007-0271-0,US
179,Hawaii_aquifer_Maui,603131.1,2366855.3,,,84.0,4.430816798843313,nan,10.1007/s10040-007-0271-0,US
180,Hawaii_aquifer_Maui,603131.1,2366855.3,,,185.8,5.224670826379739,nan,10.1007/s10040-007-0271-0,US
181,Hawaii_aquifer_Maui,602440.0,2366850.9,,,515.1,6.24436105657154,nan,10.1007/s10040-007-0271-0,US
182,Hawaii_aquifer_Maui,602382.4,2366850.6,,,564.0,6.335054251498059,nan,10.1007/s10040-007-0271-0,US
183,Hawaii_aquifer_Maui,602382.2,2366881.3,,,400.3,5.992214265998528,nan,10.1007/s10040-007-0271-0,US
184,Hawaii_aquifer_Maui,603469.6,2367964.3,,,177.7,5.180096735160606,nan,10.1007/s10040-007-0271-0,US
185,Hawaii_aquifer_Maui,603498.2,2367995.2,,,206.9,5.332235584751498,nan,10.1007/s10040-007-0271-0,US
186,Hawaii_aquifer_Maui,603526.8,2368026.2,,,189.3,5.243333058215277,nan,10.1007/s10040-007-0271-0,US
187,Hawaii_aquifer_Maui,603498.5,2367933.7,,,389.6,5.96512057176838,nan,10.1007/s10040-007-0271-0,US
188,Hawaii_aquifer_Maui,603555.9,2367964.9,,,144.5,4.973279507552487,nan,10.1007/s10040-007-0271-0,US
189,Hawaii_aquifer_Maui,602411.4,2366820.0,,,53.1,3.9721769282478934,nan,10.1007/s10040-007-0271-0,US
190,Hawaii_aquifer_Maui,601977.2,2367186.2,,,18.4,2.91235066461494,nan,10.1007/s10040-007-0271-0,US
191,Hawaii_aquifer_Maui,601347.5,2366567.4,,,178.5,5.184588601219693,nan,10.1007/s10040-007-0271-0,US
192,Hawaii_aquifer_Maui,601347.1,2366628.9,,,727.5,6.589613999045648,nan,10.1007/s10040-007-0271-0,US
193,Hawaii_aquifer_Maui,601347.7,2366536.6,,,213.5,5.363636832668679,nan,10.1007/s10040-007-0271-0,US
194,Hawaii_aquifer_Maui,600620.3,2367762.0,,,1573.1,7.360803473828459,nan,10.1007/s10040-007-0271-0,US
195,Hawaii_aquifer_Maui,599648.5,2366587.7,,,817.6,6.70637321944944,nan,10.1007/s10040-007-0271-0,US
196,Hawaii_aquifer_Maui,599648.6,2366556.9,,,113.1,4.728272383122075,nan,10.1007/s10040-007-0271-0,US
197,Hawaii_aquifer_Maui,599706.2,2366557.3,,,202.6,5.311233591814583,nan,10.1007/s10040-007-0271-0,US
198,Hawaii_aquifer_Maui,611337.3,2366939.9,,,648.7,6.47497036021901,nan,10.1007/s10040-007-0271-0,US
199,Hawaii_aquifer_Maui,609437.7,2366804.1,,,485.0,6.184148890937483,nan,10.1007/s10040-007-0271-0,US
200,Hawaii_aquifer_Maui,609466.4,2366804.3,,,144.5,4.973279507552487,nan,10.1007/s10040-007-0271-0,US
201,Hawaii_aquifer_Maui,609495.4,2366773.7,,,267.4,5.588745664667843,nan,10.1007/s10040-007-0271-0,US
202,Hawaii_aquifer_Maui,607416.5,2367620.9,,,75.9,4.3294166844015844,nan,10.1007/s10040-007-0271-0,US
203,Hawaii_aquifer_Maui,607416.5,2367620.9,,,103.8,4.642465970731788,nan,10.1007/s10040-007-0271-0,US
204,Hawaii_aquifer_Maui,607445.3,2367621.0,,,189.0,5.241747015059643,nan,10.1007/s10040-007-0271-0,US
205,Hawaii_aquifer_Maui,608947.7,2366862.3,,,31.7,3.456316680883235,nan,10.1007/s10040-007-0271-0,US
206,Hawaii_aquifer_Maui,608919.3,2366800.6,,,2830.4,7.948173323405521,nan,10.1007/s10040-007-0271-0,US
207,Hawaii_aquifer_Maui,608862.0,2366769.5,,,172.0,5.147494476813453,nan,10.1007/s10040-007-0271-0,US
