"x" "y" "z" "Facies"
1420.8 3034 67.8 6
1430.4 3054.5 67.8 6
1440 3075 67.8 3
1449.6 3095.5 67.8 3
1459.2 3116 67.8 3
1468.8 3136.5 67.8 3
1478.4 3157 67.8 5
1488 3177.5 67.8 5
1497.6 3198 67.8 5
1507.2 3218.5 67.8 5
1516.8 3239 67.8 5
1526.4 3259.5 67.8 5
1536 3280 67.8 5
1545.6 3300.5 67.8 5
1555.2 3321 67.8 5
1564.8 3341.5 67.8 5
1574.4 3362 67.8 5
1584 3382.5 67.8 5
1593.6 3403 67.8 5
1603.2 3423.5 67.8 5
1612.8 3444 67.8 8
1622.4 3464.5 67.8 5
1632 3485 67.8 5
1641.6 3505.5 67.8 3
1651.2 3526 67.8 3
1660.8 3546.5 67.8 3
1670.4 3567 67.8 3
1680 3587.5 67.8 3
1689.6 3608 67.8 3
1699.2 3628.5 67.8 3
1708.8 3649 67.8 3
1718.4 3669.5 67.8 6
1728 3690 67.8 6
1737.6 3710.5 67.8 6
1747.2 3731 67.8 6
1756.8 3751.5 67.8 6
1766.4 3772 67.8 6
1776 3792.5 67.8 6
1785.6 3813 67.8 6
1795.2 3833.5 67.8 6
1804.8 3854 67.8 6
1814.4 3874.5 67.8 6
1824 3895 67.8 3
1833.6 3915.5 67.8 3
1843.2 3936 67.8 3
1852.8 3956.5 67.8 3
1862.4 3977 67.8 3
1872 3997.5 67.8 3
1881.6 4018 67.8 3
1891.2 4038.5 67.8 3
1900.8 4059 67.8 3
1910.4 4079.5 67.8 3
1920 4100 67.8 3
1929.6 4120.5 67.8 3
1939.2 4141 67.8 3
1948.8 4161.5 67.8 3
1958.4 4182 67.8 3
1968 4202.5 67.8 3
1977.6 4223 67.8 3
1987.2 4243.5 67.8 3
1996.8 4264 67.8 3
2006.4 4284.5 67.8 3
2016 4305 67.8 3
2025.6 4325.5 67.8 3
2035.2 4346 67.8 3
2044.8 4366.5 67.8 3
2054.4 4387 67.8 3
2064 4407.5 67.8 3
2073.6 4428 67.8 3
2083.2 4448.5 67.8 3
2092.8 4469 67.8 3
2102.4 4489.5 67.8 3
2112 4510 67.8 3
2121.6 4530.5 67.8 3
2131.2 4551 67.8 3
2140.8 4571.5 67.8 3
2150.4 4592 67.8 3
2160 4612.5 67.8 6
2169.6 4633 67.8 6
2179.2 4653.5 67.8 6
2188.8 4674 67.8 6
2198.4 4694.5 67.8 6
2208 4715 67.8 6
2217.6 4735.5 67.8 6
2227.2 4756 67.8 6
2236.8 4776.5 67.8 6
2246.4 4797 67.8 6
2256 4817.5 67.8 6
2265.6 4838 67.8 6
2275.2 4858.5 67.8 6
2284.8 4879 67.8 6
2294.4 4899.5 67.8 6
2304 4920 67.8 6
2313.6 4940.5 67.8 6
2323.2 4961 67.8 6
2332.8 4981.5 67.8 6
2342.4 5002 67.8 6
2352 5022.5 67.8 6
2361.6 5043 67.8 6
2371.2 5063.5 67.8 6
2380.8 5084 67.8 6
2390.4 5104.5 67.8 6
2400 5125 67.8 6
2409.6 5145.5 67.8 6
2419.2 5166 67.8 6
2428.8 5186.5 67.8 6
2438.4 5207 67.8 6
2448 5227.5 67.8 6
2457.6 5248 67.8 6
2467.2 5268.5 67.8 6
2476.8 5289 67.8 6
2486.4 5309.5 67.8 6
2496 5330 67.8 6
2505.6 5350.5 67.8 6
2515.2 5371 67.8 6
2524.8 5391.5 67.8 6
2534.4 5412 67.8 6
2544 5432.5 67.8 6
2553.6 5453 67.8 6
2563.2 5473.5 67.8 6
2572.8 5494 67.8 6
2582.4 5514.5 67.8 6
2592 5535 67.8 6
2601.6 5555.5 67.8 6
2611.2 5576 67.8 6
2620.8 5596.5 67.8 6
2630.4 5617 67.8 6
2640 5637.5 67.8 6
2649.6 5658 67.8 6
2659.2 5678.5 67.8 6
2668.8 5699 67.8 6
2678.4 5719.5 67.8 6
2688 5740 67.8 6
2697.6 5760.5 67.8 6
2707.2 5781 67.8 6
2716.8 5801.5 67.8 6
2726.4 5822 67.8 6
2736 5842.5 67.8 6
2745.6 5863 67.8 6
2755.2 5883.5 67.8 6
2764.8 5904 67.8 6
2774.4 5924.5 67.8 6
2784 5945 67.8 6
2793.6 5965.5 67.8 6
2803.2 5986 67.8 6
2812.8 6006.5 67.8 6
2822.4 6027 67.8 6
2832 6047.5 67.8 6
2841.6 6068 67.8 6
2851.2 6088.5 67.8 6
2860.8 6109 67.8 6
2870.4 6129.5 67.8 6
2880 6150 67.8 6
2889.6 6170.5 67.8 6
2899.2 6191 67.8 6
2908.8 6211.5 67.8 6
2918.4 6232 67.8 6
2928 6252.5 67.8 6
2937.6 6273 67.8 6
2947.2 6293.5 67.8 6
2956.8 6314 67.8 6
2966.4 6334.5 67.8 6
2976 6355 67.8 6
2985.6 6375.5 67.8 6
2995.2 6396 67.8 6
3004.8 6416.5 67.8 6
3014.4 6437 67.8 6
3024 6457.5 67.8 6
3033.6 6478 67.8 6
3043.2 6498.5 67.8 6
3052.8 6519 67.8 6
9.6 20.5 90.4 2
19.2 41 90.4 2
28.8 61.5 90.4 2
38.4 82 90.4 2
48 102.5 90.4 2
57.6 123 90.4 2
67.2 143.5 90.4 2
76.8 164 90.4 2
86.4 184.5 90.4 2
96 205 90.4 2
105.6 225.5 90.4 2
115.2 246 90.4 2
124.8 266.5 90.4 2
134.4 287 90.4 2
144 307.5 90.4 2
153.6 328 90.4 2
163.2 348.5 90.4 2
172.8 369 90.4 2
182.4 389.5 90.4 2
192 410 90.4 2
201.6 430.5 90.4 2
211.2 451 90.4 2
220.8 471.5 90.4 2
230.4 492 90.4 2
240 512.5 90.4 2
249.6 533 90.4 2
259.2 553.5 90.4 2
268.8 574 90.4 2
278.4 594.5 90.4 2
288 615 90.4 2
297.6 635.5 90.4 2
307.2 656 90.4 2
316.8 676.5 90.4 2
326.4 697 90.4 2
336 717.5 90.4 2
